dlga_start:dialognotused|error, 
dlga_start:close_window.1|You have done a great job, {playername}, without a doubt this shall help us greatly in figuring out the enemy's plans.
dlga_start:close_window.2|What do you want now?
dlga_start:close_window.3|Would there be any particular reason why you disturb me?
dlga_start:przywodca_twierdzy|Greetings, what brings you here?
dlga_przywodca_twierdzy:przywodca_twierdzy1|I come on the orders of General Kosciuszko, the Chief and the Overseer of the insurrection against the Targowica Confederacy
dlga_przywodca_twierdzy1:przywodca_twierdzy2|The General expects, you to join the insurrection on our side.
dlga_przywodca_twierdzy2:close_window|We will not disappoint. Tell them, they can count on us.
dlga_rumorsystem:close_window|{s10}, 
dlga_start:close_window.4|[]I have no tasks for you at the moment, but stick around for now.
dlga_start:2etap_mend2|Howdy {playername}, good, thing you're here. Apologies, that I didn't elaborate on the issue in the letter, but it might have fallen into the wrong hands and betrayed our plans.
dlga_2etap_mend2:2etap_mend3|Without any further delay, you must travel to Rzeczpospolita with utmost haste. As Niemcewicz reports in his letters that a couple of days ago, an insurrection broke out. As such, you should expect leadership over one of the regiments.
dlga_2etap_mend3:close_window|Thanks to your help, we too are on the brink of armed rebellion against the Habsburg tyranny.  Farewell, {playername}, and keep an eye out for news from these parts. We will be talked about.
dlga_martinovics_next_quest:martinovics_next_quest2|As soon as you're ready to take further action, let me know.
dlga_martinovics_next_quest2:ignac_quest|I am ready now.
dlga_martinovics_next_quest2:close_window|I will be ready soon.
dlga_general_next_quest:general_next_quest2|As soon as you're ready to take further action, let me know.
dlga_general_next_quest2:general_quest|I am ready now.
dlga_general_next_quest2:close_window|I will be ready soon.
dlga_priest_next_quest:priest_next_quest2|As soon as you're ready to take further action, let me know.
dlga_priest_next_quest2:priest_quest|I am ready now.
dlga_priest_next_quest2:close_window|I will be ready soon.
dlga_start:egzekucja_quest_end|I've brought you your comrade.
dlga_start:egzekucja_questfail_end|I regret to inform you, sir , that I did not manage to carry out the mission.
dlga_egzekucja_questfail_end:martinovics_next_quest|You did not manage to bribe the first amongst the most corruptible officers of the Tsar's army? You have disappointed me greatly, {playername}.
dlga_start:patrole_end_dialog|The mission was a success.I give my word, that no-one escaped alive.
dlga_patrole_end_dialog:general_next_quest|Ha! I knew, you would manage to take care of this task. Now I know, that the praises sung about you were not baseless.
dlga_start:general_zasadzka|The attack on the convoy has not succeeded.they had more men than we thought at the time and our forces were routed.
dlga_general_zasadzka:general_next_quest|Those are bad news you are bearing, and far from encouraging regarding our future as those weapons were intended for fresh volunteers. May it be the last defeat on our way to independence.
dlga_start:zasadzka_end_dialog|The convoy had been captured along with the supplies.
dlga_zasadzka_end_dialog:general_next_quest|Excellent news! It will surely help my men's morale and encourage people to join our ranks.
dlga_start:zlotomaruderowa|I see you have returned. Pray tell, then, what brings you here?
dlga_zlotomaruderowa:zlotomaruderowa_a|I report, that the deserters' forces turned out to have been overwhelming, and despite all attempts, we have faltered. They, in turn, have fled, not awaiting our second attack.
dlga_zlotomaruderowa_a:etap_2_end_check|Sooner or later I will find them. A pity about the stolen money, though, it would have helped us greatly.
dlga_start:pzadanie6zakonczenie|I see you have returned. Pray tell, then, what brings you here?
dlga_start:qst_manifesty_end|I have proclaimed the manifestos in nearby taverns.
dlga_qst_manifesty_end:priest_next_quest|Good news you bear {playername}, and ease the burden of my service as I cannot reach everyone, and thus, thanks to you, the enlightened thought will reach every household in the vicinity!
dlga_start:qst_manifesty_end2|[PLACEHOLDER] I have failed.
dlga_qst_manifesty_end2:priest_next_quest|[PLACEHOLDER] You gotta be kidding me...
dlga_start:qst_dostarczbron2a|Finally you're back! I've been worried sick, that I sent you to your perdition! Say, how did things go?
dlga_qst_dostarczbron2a:qst_dostarczbron2_end|I bring good news, without any trouble I've supplied the insurgents with weapons.
dlga_qst_dostarczbron2_end:priest_next_quest|Praise be to the Almighty! You have done a splendid job, {playername}. Keep the good work up.
dlga_start:qst_egzekucja_end_win|They're safe and sound.
dlga_qst_egzekucja_end_win:etap_2_end_check|I've been thinking they, they might have been executed already. But you, you couldn't fail! Good fortune has brought you before me.
"dlga_start:qst_egzekucja_end_fail|Sadly, I did not manage to stop the execution. The conspirators were executed.", 
