dlga_start:dialognotused|error
dlga_start:close_window.1|Świetnie się sprawiłeś {playername}, z pewnością pomoże nam znacznie w rozpracowaniu najbliższych planów wroga.
dlga_start:close_window.2|Czego tam znowu chcecie?
dlga_start:close_window.3|W jakimś konkretnym zamiarze przeszkadzacie mi?
dlga_start:przywodca_twierdzy|Czołem, z czym przychodzicie?
dlga_przywodca_twierdzy:przywodca_twierdzy1|Jestem z rozkazu Generała Kościuszki, Zwierzchnika wojsk i Naczelnika powstania przeciwko Konfederacji Targowickiej 
dlga_przywodca_twierdzy1:przywodca_twierdzy2|Generał oczekuje, iż dołączycie do powstania po naszej stronie.
dlga_przywodca_twierdzy2:close_window|Nie zawiedziemy. Przekaż, że można na nas liczyć.
dlga_rumorsystem:close_window|{s10}
dlga_start:close_window.4|[]Nie mam dla Ciebie teraz żadnego zadania, ale bądź w pobliżu
dlga_start:2etap_mend2|Czołem {playername}, dobrze, że już jesteś. Wybacz, iż w liście nie pisałem w czym rzecz, jednak mógłby wpaść w niepowołane ręce i zdradzić nasze plany. 
dlga_2etap_mend2:2etap_mend3|Nie będę dłużej zwlekał, musisz udać się czym prędzej do Rzeczpospolitej. Jak w listach donosi Niemcewicz kilka dni temu wybuchło powstanie. W tej sytuacji liczyć możesz na objęcie dowództwa nad jednym z regimentów. 
dlga_2etap_mend3:close_window|Dzięki twej pomocy, my również jesteśmy u progu zbrojnego wystąpienia przeciw habsburskiej tyranii.  Bywaj {playername} i nasłuchuj wieści z tych stron. Będzie o nas głośno. 
dlga_martinovics_next_quest:martinovics_next_quest2|Gdy będziesz już gotów do podjęcia dalszych działań daj mi znać.
dlga_martinovics_next_quest2:ignac_quest|Jestem już gotów.
dlga_martinovics_next_quest2:close_window|Wkrótce będę gotów.
dlga_general_next_quest:general_next_quest2|Gdy będziesz już gotów do podjęcia dalszych działań daj mi znać.
dlga_general_next_quest2:general_quest|Jestem już gotów.
dlga_general_next_quest2:close_window|Wkrótce będę gotów.
dlga_priest_next_quest:priest_next_quest2|Gdy będziesz już gotów do podjęcia dalszych działań, daj mi znać.
dlga_priest_next_quest2:priest_quest|Jestem już gotów.
dlga_priest_next_quest2:close_window|Wkrótce będę gotów.
dlga_start:egzekucja_quest_end|Przywiozłem waszego druha.
dlga_start:egzekucja_questfail_end|Z przykrością waszmości wyznaję, że nie zdołałem misji mi powierzonej wykonać.
dlga_egzekucja_questfail_end:martinovics_next_quest|Nie zdołałeś przekupić pierwszego pośród najbardziej przekupnych oficerów carskiej armii? Wielce mnie rozczarowałeś {playername}.
dlga_start:patrole_end_dialog|Misja się powiodła, ręczę, iż nikt nie uszedł żywy.
dlga_patrole_end_dialog:general_next_quest|Ha! Wiedziałem, iż podołacie temu zadaniu. Teraz już wiem, iż nie bez przyczyny chwalili waszmościa. 
dlga_start:general_zasadzka|Nie powiódł się atak na konwój, ludzi mieli więcej niż zawczasu sądziliśmy i nasze siły w rozsypkę poszły.
