fac_no_faction|No Faction
fac_commoners|Commoners
fac_outlaws|Outlaws
fac_przemytnicy|Przemytnicy
fac_neutral|Neutral
fac_innocents|Innocents
fac_merchants|Merchants
fac_player_faction|Player Faction
fac_player_supporters_faction|Player's Supporters
fac_kingdom_1|Konfederacja Targowicka
fac_kingdom_2|Imperium Rosyjskie
fac_kingdom_3|Królestwo Prus
fac_kingdom_4|Monarchia Habsburgów
fac_kingdom_5|Powstańcy Kościuszkowscy
fac_kingdom_6|Powstańcy Rosyjscy
fac_kingdom_7|Powstańcy Węgierscy
fac_manhunters|Manhunters
fac_deserters|Deserters
fac_mountain_bandits|mountain bandits
fac_forest_bandits|Forest Bandits
fac_neutral2|Neutral
