menu_start_game_0|Welcome, adventurer, to Mount and Blade: Warband. Before beginning the game you must create your character. Remember that in the traditional medieval society depicted in the game, war and politics are usually dominated by male members of the nobility. That does not however mean that you should not choose to play a female character, or one who is not of noble birth. Male nobles may have a somewhat easier start, but women and commoners can attain all of the same goals -- and in fact may have a much more interesting if more challenging early game.
mno_continue|Kontynuuj...
mno_www|pres...
mno_go_back|Go back
menu_start_phase_2|You hear about Calradia, a land torn between rival kingdoms battling each other for supremacy, a haven for knights and mercenaries,  cutthroats and adventurers, all willing to risk their lives in pursuit of fortune, power, or glory... In this land which holds great dangers and even greater opportunities, you believe you may leave your past behind and start a new life. You feel that finally, you hold the key of your destiny in your hands, free to choose as you will, and that whatever course you take, great adventures will await you. Drawn by the stories you hear about Calradia and its kingdoms, you...
mno_town_1|join a caravan to Praven, in the Kingdom of Swadia.
mno_town_2|join a caravan to Reyvadin, in the Kingdom of the Vaegirs.
mno_town_3|join a caravan to Tulga, in the Khergit Khanate.
mno_town_4|take a ship to Sargoth, in the Kingdom of the Nords.
mno_town_5|take a ship to Jelkala, in the Kingdom of the Rhodoks.
mno_town_6|join a caravan to Shariz, in the Sarranid Sultanate.
menu_start_game_3|Choose your scenario:
menu_tutorial|You approach a field where the locals are training with weapons. You can practice here to improve your combat skills.
mno_go_back_dot|Go back.
menu_reports|Renoma postaci: {reg5}^Honor: {reg6}^Morale: {reg8}^Limit wielkości oddziału: {reg7}^
mno_view_morale_report|Pokaż raport odnośnie morale.
mno_view_faction_relations_report|Pokaż raport relacji z frakcjami.
mno_resume_travelling|Powrót.
menu_custom_battle_scene|(NO TRANS)
menu_custom_battle_end|The battle is over. {s1} Your side killed {reg5} enemies and lost {reg6} troops over the battle. You personally slew {reg7} men in the fighting.
menu_start_game_1|Select your character's gender.
mno_start_male|Male
mno_start_female|Female
menu_start_character_1|You were born years ago, in a land far away. Your father was...
mno_start_noble|An impoverished noble.
mno_start_merchant|A travelling merchant.
mno_start_guard|A veteran warrior.
mno_start_forester|A hunter.
mno_start_nomad|A steppe nomad.
mno_start_thief|A thief.
menu_start_character_2|{s10}^^ You started to learn about the world almost as soon as you could walk and talk. You spent your early life as...
mno_page|A page at a nobleman's court.
mno_apprentice|A craftsman's apprentice.
mno_stockboy|A shop assistant.
mno_urchin|A street urchin.
mno_nomad|A steppe child.
menu_start_character_3|{s11}^^ Then, as a young adult, life changed as it always does. You became...
mno_squire|A squire.
mno_lady|A lady-in-waiting.
mno_troubadour|A troubadour.
mno_student|A university student.
mno_peddler|A goods peddler.
mno_craftsman|A smith.
mno_poacher|A game poacher.
menu_start_character_4|{s12}^^But soon everything changed and you decided to strike out on your own as an adventurer. What made you take this decision was...
mno_revenge|Personal revenge.
mno_death|The loss of a loved one.
mno_wanderlust|Wanderlust.
mno_disown|Being forced out of your home.
mno_greed|Lust for money and power.
menu_choose_skill|{s13}
mno_begin_adventuring|Become an adventurer and ride to your destiny.
menu_past_life_explanation|{s3}
mno_view_next|{s5}
menu_quest_krakow|Kraków, dawna stolica Rzeczpospolitej.
mno_continue_door|Idź na rynek
menu_start_continue|11 stycznia, Anno Domini 1794, karczma Otrzynówka nad rzeczką Krzką.
menu_morale_report|{s1}
menu_courtship_relations|{s1}
menu_lord_relations|{s1}
menu_companion_report|{s7}{s1}
menu_character_report|{s9}
menu_party_size_report|{s1}
menu_faction_relations_report|{s1}
menu_1794_cheats|...
mno_3etap_camp|3 Etap
mno_destroytarg|teleport do swistackiego
mno_weather|{reg0?Wyłącz:Włącz} wiadomosci pogodowe
mno_waiterenity|Podróż w czasie
mno_powst|Dodaj 10 fizylierów do oddziału
mno_choose_troop|Lista NPC
mno_choose_scene|Lista lokacji
mno_aaaaaadddsaquest|Pomiń zadanie
mno_awans|Awansuj na wyższy stopień oficerski
