qstr_Kłódka|Kłódka
qstr_rozmowa|rozmowa
qstr_rozmowa_2|rozmowa 2
qstr_strumyk|strumyk
qstr_pilowanie|pilowanie
qstr_Next_Page|Next Page
qstr_Game_Rules:^|Game Rules:^
qstr_0|0
qstr_Show_game_rules|Show game rules
qstr_Continue...|Continue...
qstr_Candidate_#1:_{s1}|Candidate #1: {s1}
qstr_Candidate_#2:_{s1}|Candidate #2: {s1}
qstr_{s3}_of_{s4}_wishes_|{s3} of {s4} wishes to select a new marshall and invites his vassals for a counsel. {s1} and {s2} are the likely candidates.
qstr_Who_do_you_wish_to_s|Who do you wish to support?
qstr_{s1}_gives_his_suppo|{s1} gives his support to {s2}.
qstr_Number_of_Supporters|Number of Supporters: {reg0}
qstr_{s2}_has_heard_his_v|{s2} has heard his vassals' counsel. He selects {s1} as the marshall of {s3}.
qstr_Action|Action
qstr_Mount|Mount
qstr_Attack_Type|Attack Type
qstr_Stand_Ground|Stand Ground
qstr_Charge|Charge
qstr_Follow_Me|Follow Me
qstr_Hold_This_Position|Hold This Position
qstr_Spread_Out|Spread Out
qstr_Stand_Closer|Stand Closer
qstr_Fall_Back|Fall Back
qstr_Advance|Advance
qstr_Dismount|Dismount
qstr_Fire_At_Will|Fire At Will
qstr_Hold_Your_Fire|Hold Your Fire
qstr_Use_Blunt_Weapons|Use Blunt Weapons
qstr_Use_Any_Weapon|Use Any Weapon
qstr_Ready|Ready
qstr_Wounded|Wounded
qstr_Dead|Dead
qstr_Podwójna_linia.|Podwójna linia.
qstr_a|a
qstr_Czworobok.|Czworobok.
qstr_b|b
qstr_Tyraleria.|Tyraleria.
qstr_c|c
qstr_Pierwszy_szereg_klę|Pierwszy szereg klęka.
qstr_d|d
qstr_Szlusuj.|Szlusuj.
qstr_e|e
qstr_Zakończ_formację.|Zakończ formację.
qstr_Zmiana_rozkazu_ostrz|Zmiana rozkazu ostrzału
qstr_f|f
qstr_Ognia!|Ognia!
qstr_g|g
qstr_1|1
qstr_2|2
qstr_3|3
qstr_4|4
qstr_5|5
qstr_6|6
qstr_7|7
qstr_8|8
qstr_9|9
qstr_A|A
qstr_B|B
qstr_C|C
qstr_D|D
qstr_E|E
qstr_F|F
qstr_G|G
qstr_H|H
qstr_I|I
qstr_J|J
qstr_K|K
qstr_L|L
qstr_M|M
qstr_N|N
qstr_O|O
qstr_P|P
qstr_Q|Q
qstr_R|R
qstr_S|S
qstr_T|T
qstr_U|U
qstr_V|V
qstr_W|W
qstr_X|X
qstr_Y|Y
qstr_Z|Z
qstr_Numpad_0|Numpad 0
qstr_Numpad_1|Numpad 1
qstr_Numpad_2|Numpad 2
qstr_Numpad_3|Numpad 3
qstr_Numpad_4|Numpad 4
qstr_Numpad_5|Numpad 5
qstr_Numpad_6|Numpad 6
qstr_Numpad_7|Numpad 7
qstr_Numpad_8|Numpad 8
qstr_Numpad_9|Numpad 9
qstr_Num_Lock|Num Lock
qstr_Numpad_Div|Numpad Div
qstr_Numpad_Mul|Numpad Mul
qstr_Numpad_Mins|Numpad Mins
qstr_Numpad_Pls|Numpad Pls
qstr_Numpad_Entr|Numpad Entr
qstr_Numpad_Dot|Numpad Dot
qstr_Insert|Insert
qstr_Delete|Delete
qstr_Home|Home
qstr_End|End
qstr_Page_Up|Page Up
qstr_Page_Down|Page Down
qstr_Up|Up
qstr_Down|Down
qstr_Left|Left
qstr_Right|Right
qstr_F1|F1
qstr_F2|F2
qstr_F3|F3
qstr_F4|F4
qstr_F5|F5
qstr_F6|F6
qstr_F7|F7
qstr_F8|F8
qstr_F9|F9
qstr_F10|F10
qstr_F11|F11
qstr_F12|F12
qstr_Space_Bar|Space Bar
qstr_Enter|Enter
qstr_Tab|Tab
qstr_Backspace|Backspace
qstr_Left_Bracess|Left Bracess
qstr_Right_Braces|Right Braces
qstr_Comma|Comma
qstr_Period|Period
qstr_Slash|Slash
qstr_Back_Slash|Back Slash
qstr_Equals|Equals
qstr_Minus|Minus
qstr_Semicolon|Semicolon
qstr_Apostrophe|Apostrophe
qstr_Tilde|Tilde
qstr_Caps_Lock|Caps Lock
qstr_Left_Shift|Left Shift
qstr_Right_Shift|Right Shift
qstr_Left_Ctrl|Left Ctrl
qstr_Right_Ctrl|Right Ctrl
qstr_Left_Alt|Left Alt
qstr_Right_Alt|Right Alt
qstr_Left_Click|Left Click
qstr_Right_Click|Right Click
qstr_Mouse_Button_3|Mouse Button 3
qstr_Mouse_Button_4|Mouse Button 4
qstr_Mouse_Button_5|Mouse Button 5
qstr_Mouse_Button_6|Mouse Button 6
qstr_Mouse_Button_7|Mouse Button 7
qstr_Mouse_Button_8|Mouse Button 8
qstr_Scroll_Up|Scroll Up
qstr_Scroll_Down|Scroll Down
qstr_INVALID_KEY|INVALID KEY
qstr_Podwójna_linia|Podwójna linia
qstr_Nie_możesz_używać|Nie możesz używać tej formacji z tym oddziałem.
qstr_Czworobok|Czworobok
qstr_Tyraleria|Tyraleria
qstr_Ten_rozkaz_jest_nied|Ten rozkaz jest niedostępny w trybie podążania.
qstr_Ten_rozkaz_dostępny|Ten rozkaz dostępny jest tylko dla formacji podwójnej linii.
qstr_Poczekaj_na_sformowa|Poczekaj na sformowanie się żołnierzy.
qstr_Pierwszy_szereg_klęk|Pierwszy szereg klęka
qstr_Pierwszy_szereg_wsta|Pierwszy szereg wstaje
qstr_Zrekonstruuj_formacj|Zrekonstruuj formacje
qstr_Koniec_formacji|Koniec formacji
qstr_Number_of_men_knocke|Number of men knocked down: {reg1}
qstr_Number_of_men_left:_|Number of men left: {reg1}
qstr_Opponents_Beaten:_{r|Opponents Beaten: {reg1}
qstr_Opponents_Remaining:|Opponents Remaining: {reg1}
qstr_Remain_in_retirement|Remain in retirement.
qstr_Go_back_to_the_adven|Go back to the adventuring.
qstr_You_have_retired_at_|You have retired at level {reg4} after {reg5} days of adventuring.
qstr_Effect_on_Score|Effect on Score
qstr_Settlements_owned_by|Settlements owned by you: {reg0}
qstr_Friendly_Settlements|Friendly Settlements: {reg0}
qstr_Hostile_Settlements:|Hostile Settlements: {reg0}
qstr_Friendly_Lords:_{reg|Friendly Lords: {reg0}
qstr_Enemy_Lords:_{reg0}|Enemy Lords: {reg0}
qstr_Victories:_{reg0}|Victories: {reg0}
qstr_Defeats:_{reg0}|Defeats: {reg0}
qstr_Quests_Completed:_{r|Quests Completed: {reg0}
qstr_Companions_Found:_{r|Companions Found: {reg0}
qstr_Companions_Lost/Depa|Companions Lost/Departed: {reg0}
qstr_Wealth:_{reg0}_denar|Wealth: {reg0} denars
qstr_Inventory:_{reg0}_de|Inventory: {reg0} denars
qstr_Renown:_{reg0}|Renown: {reg0}
qstr_Experience:_{reg0}|Experience: {reg0}
qstr_Days_Passed:_{reg0}|Days Passed: {reg0}
qstr_Difficulty:_{reg0}%|Difficulty: {reg0}%
qstr_TOTAL_SCORE:_{reg0}|TOTAL SCORE: {reg0}
qstr_None|None
qstr_Płacisz_żołd_w_wy|Płacisz żołd w wysokości: {reg0}
qstr_{s2}^____{reg0}_punk|{s2}^    {reg0} punktów renomy
qstr_{s2}^____{reg1}_punk|{s2}^    {reg1} punktów przywództwa
qstr__Do_następnego_awan| Do następnego awansu wymagane: {s2}
qstr_Stopień:_{s69}|Stopień: {s69}
qstr_{s2}|{s2}
qstr_Rotmistrz|Rotmistrz
qstr_Kapitan|Kapitan
qstr_Generał|Generał
qstr_Brygadier|Brygadier
qstr_Posiadany_regiment:|Posiadany regiment:
qstr_Dostępne_regimenty:|Dostępne regimenty:
qstr_Wyjdź|Wyjdź
qstr_Nie_wybrałeś_żadn|Nie wybrałeś żadnego regimentu.
qstr_Kup|Kup
qstr_Uzupełnij|Uzupełnij
qstr_Usuń|Usuń
qstr__| 
qstr_Nie_dowodzisz_regime|Nie dowodzisz regimentem.
qstr_Potwierdź_decyzję_|Potwierdź decyzję o zdaniu^ dowództwa nad regimentem.
qstr_Ilu_zołnierzy_potrz|Ilu zołnierzy potrzebujesz?
qstr_Regiment_nie_poniós|Regiment nie poniósł żadnych strat.
qstr_Obecny_regiment_zost|Obecny regiment zostanie zastąpiony.^Koszt wystawienia regimentu^ wynosi {reg10}.^         Potwierdź albo zrezygnuj.
qstr_Koszt_wystawienia_re|Koszt wystawienia regimentu^ wynosi {reg10}.^         Potwierdź albo zrezygnuj.
qstr_Stan_regimentu:_{reg|Stan regimentu: {reg0}/{reg1}
qstr_Liczebność_regimen|Liczebność regimentu: {reg1}^^Cena: {reg2}^^Złoto: {reg3}
qstr_{reg2}._{s2}|{reg2}. {s2}
qstr_Ranking_Pojedynków|Ranking Pojedynków
qstr_Zwycięstwa:_{reg0}^|Zwycięstwa: {reg0}^Porażki: {reg1}^Wynik: {reg2}
qstr_Wins:_{reg0}^Loses:_|Wins: {reg0}^Loses: {reg1}^Score: {reg2}
qstr_Wyjdz|Wyjdz
qstr_Kontynuuj|Kontynuuj
qstr_Witaj_{playername}|Witaj {playername}
qstr_Bywaj|Bywaj
qstr_{reg1}|{reg1}
qstr_{reg1|{reg1
qstr_{s0}|{s0}
qstr_Continue|Continue
qstr_Wygłoś_manifest.|Wygłoś manifest.
qstr_Wejdź_do_środka.|Wejdź do środka.
qstr_Zatrzymaj_się_na_ja|Zatrzymaj się na jakiś czas.
qstr_Wyjdź...|Wyjdź...
qstr_disableUI|disableUI
qstr_Manifest:_{reg0}|Manifest: {reg0}
qstr_Zwycięstwo!|Zwycięstwo!
qstr_Porażka!|Porażka!
qstr_Kontynuuj...|Kontynuuj...
qstr_Ilość_punktów_do_|Ilość punktów do współczynnika: {reg1}
qstr_Wysokość_nagrody_p|Wysokość nagrody pieniężnej: {reg1}
qstr_Uzyskana_renoma:_{re|Uzyskana renoma: {reg1}
qstr_Pozycja:_{reg10}_^Z�|Pozycja: {reg10} ^Złoto: {reg12}
qstr_Rozpocznij.|Rozpocznij.
qstr_Suma:|Suma:
qstr_{reg0}|{reg0}
qstr_Wypij|Wypij
qstr_Dostępne_zadania|Dostępne zadania
qstr_Nie_wybrałeś_żadne|Nie wybrałeś żadnego zadania.
qstr_Przyjmij|Przyjmij
qstr_DEBUG:_regions:_{reg|DEBUG: regions: {reg0}
qstr_Twierdza_{s1}_dołą|Twierdza {s1} dołączyła do rewolucji!
qstr_{s1}__{s3}__został_|{s1} ({s3}) został pokonany w bitwie, lecz zdołał uciec.
qstr_{s54}_is_a_claimant_|{s54} is a claimant to the throne of {s56}.
qstr_nowhere|nowhere
