1650
qstr_Kłódka Kłódka
qstr_rozmowa rozmowa
qstr_rozmowa_2 rozmowa_2
qstr_strumyk strumyk
qstr_pilowanie pilowanie
qstr_Next_Page Next_Page
qstr_Game_Rules:^ Game_Rules:^
qstr_0 0
qstr_Show_game_rules Show_game_rules
qstr_Continue... Continue...
qstr_Candidate_#1:_{s1} Candidate_#1:_{s1}
qstr_Candidate_#2:_{s1} Candidate_#2:_{s1}
qstr_{s3}_of_{s4}_wishes_ {s3}_of_{s4}_wishes_to_select_a_new_marshall_and_invites_his_vassals_for_a_counsel._{s1}_and_{s2}_are_the_likely_candidates.
qstr_Who_do_you_wish_to_s Who_do_you_wish_to_support?
qstr_{!}{s1} {!}{s1}
qstr_{s1}_gives_his_suppo {s1}_gives_his_support_to_{s2}.
qstr_Number_of_Supporters Number_of_Supporters:_{reg0}
qstr_{s2}_has_heard_his_v {s2}_has_heard_his_vassals'_counsel._He_selects_{s1}_as_the_marshall_of_{s3}.
qstr_Action Action
qstr_Mount Mount
qstr_Attack_Type Attack_Type
qstr_Stand_Ground Stand_Ground
qstr_Charge Charge
qstr_Follow_Me Follow_Me
qstr_Hold_This_Position Hold_This_Position
qstr_Spread_Out Spread_Out
qstr_Stand_Closer Stand_Closer
qstr_Fall_Back Fall_Back
qstr_Advance Advance
qstr_Dismount Dismount
qstr_Fire_At_Will Fire_At_Will
qstr_Hold_Your_Fire Hold_Your_Fire
qstr_Use_Blunt_Weapons Use_Blunt_Weapons
qstr_Use_Any_Weapon Use_Any_Weapon
qstr_Ready Ready
qstr_Wounded Wounded
qstr_Dead Dead
qstr_Podwójna_linia. Podwójna_linia.
qstr_a a
qstr_Czworobok. Czworobok.
qstr_b b
qstr_Tyraleria. Tyraleria.
qstr_c c
qstr_Pierwszy_szereg_klę Pierwszy_szereg_klęka.
qstr_d d
qstr_Szlusuj. Szlusuj.
qstr_e e
qstr_Zakończ_formację. Zakończ_formację.
qstr_Zmiana_rozkazu_ostrz Zmiana_rozkazu_ostrzału
qstr_f f
qstr_Ognia! Ognia!
qstr_g g
qstr_1 1
qstr_2 2
qstr_3 3
qstr_4 4
qstr_5 5
qstr_6 6
qstr_7 7
qstr_8 8
qstr_9 9
qstr_A A
qstr_B B
qstr_C C
qstr_D D
qstr_E E
qstr_F F
qstr_G G
qstr_H H
qstr_I I
qstr_J J
qstr_K K
qstr_L L
qstr_M M
qstr_N N
qstr_O O
qstr_P P
qstr_Q Q
qstr_R R
qstr_S S
qstr_T T
qstr_U U
qstr_V V
qstr_W W
qstr_X X
qstr_Y Y
qstr_Z Z
qstr_Numpad_0 Numpad_0
qstr_Numpad_1 Numpad_1
qstr_Numpad_2 Numpad_2
qstr_Numpad_3 Numpad_3
qstr_Numpad_4 Numpad_4
qstr_Numpad_5 Numpad_5
qstr_Numpad_6 Numpad_6
qstr_Numpad_7 Numpad_7
qstr_Numpad_8 Numpad_8
qstr_Numpad_9 Numpad_9
qstr_Num_Lock Num_Lock
qstr_Numpad_Div Numpad_Div
qstr_Numpad_Mul Numpad_Mul
qstr_Numpad_Mins Numpad_Mins
qstr_Numpad_Pls Numpad_Pls
qstr_Numpad_Entr Numpad_Entr
qstr_Numpad_Dot Numpad_Dot
qstr_Insert Insert
qstr_Delete Delete
qstr_Home Home
qstr_End End
qstr_Page_Up Page_Up
qstr_Page_Down Page_Down
qstr_Up Up
qstr_Down Down
qstr_Left Left
qstr_Right Right
qstr_F1 F1
qstr_F2 F2
qstr_F3 F3
qstr_F4 F4
qstr_F5 F5
qstr_F6 F6
qstr_F7 F7
qstr_F8 F8
qstr_F9 F9
qstr_F10 F10
qstr_F11 F11
qstr_F12 F12
qstr_Space_Bar Space_Bar
qstr_Enter Enter
qstr_Tab Tab
qstr_Backspace Backspace
qstr_Left_Bracess Left_Bracess
qstr_Right_Braces Right_Braces
qstr_Comma Comma
qstr_Period Period
qstr_Slash Slash
qstr_Back_Slash Back_Slash
qstr_Equals Equals
qstr_Minus Minus
qstr_Semicolon Semicolon
qstr_Apostrophe Apostrophe
qstr_Tilde Tilde
qstr_Caps_Lock Caps_Lock
qstr_Left_Shift Left_Shift
qstr_Right_Shift Right_Shift
qstr_Left_Ctrl Left_Ctrl
qstr_Right_Ctrl Right_Ctrl
qstr_Left_Alt Left_Alt
qstr_Right_Alt Right_Alt
qstr_Left_Click Left_Click
qstr_Right_Click Right_Click
qstr_Mouse_Button_3 Mouse_Button_3
qstr_Mouse_Button_4 Mouse_Button_4
qstr_Mouse_Button_5 Mouse_Button_5
qstr_Mouse_Button_6 Mouse_Button_6
qstr_Mouse_Button_7 Mouse_Button_7
qstr_Mouse_Button_8 Mouse_Button_8
qstr_Scroll_Up Scroll_Up
qstr_Scroll_Down Scroll_Down
qstr_INVALID_KEY INVALID_KEY
qstr_Podwójna_linia Podwójna_linia
qstr_Nie_możesz_używać Nie_możesz_używać_tej_formacji_z_tym_oddziałem.
qstr_Czworobok Czworobok
qstr_Tyraleria Tyraleria
qstr_Ten_rozkaz_jest_nied Ten_rozkaz_jest_niedostępny_w_trybie_podążania.
qstr_Ten_rozkaz_dostępny Ten_rozkaz_dostępny_jest_tylko_dla_formacji_podwójnej_linii.
qstr_Poczekaj_na_sformowa Poczekaj_na_sformowanie_się_żołnierzy.
qstr_Pierwszy_szereg_klęk Pierwszy_szereg_klęka
qstr_Pierwszy_szereg_wsta Pierwszy_szereg_wstaje
qstr_Zrekonstruuj_formacj Zrekonstruuj_formacje
qstr_Koniec_formacji Koniec_formacji
qstr_Number_of_men_knocke Number_of_men_knocked_down:_{reg1}
qstr_Number_of_men_left:_ Number_of_men_left:_{reg1}
qstr_Opponents_Beaten:_{r Opponents_Beaten:_{reg1}
qstr_Opponents_Remaining: Opponents_Remaining:_{reg1}
qstr_Remain_in_retirement Remain_in_retirement.
qstr_Go_back_to_the_adven Go_back_to_the_adventuring.
qstr_You_have_retired_at_ You_have_retired_at_level_{reg4}_after_{reg5}_days_of_adventuring.
qstr_Effect_on_Score Effect_on_Score
qstr_Settlements_owned_by Settlements_owned_by_you:_{reg0}
qstr_{!}{reg0?+:}{reg0} {!}{reg0?+:}{reg0}
qstr_Friendly_Settlements Friendly_Settlements:_{reg0}
qstr_Hostile_Settlements: Hostile_Settlements:_{reg0}
qstr_{!}{reg0} {!}{reg0}
qstr_Friendly_Lords:_{reg Friendly_Lords:_{reg0}
qstr_Enemy_Lords:_{reg0} Enemy_Lords:_{reg0}
qstr_Victories:_{reg0} Victories:_{reg0}
qstr_Defeats:_{reg0} Defeats:_{reg0}
qstr_Quests_Completed:_{r Quests_Completed:_{reg0}
qstr_Companions_Found:_{r Companions_Found:_{reg0}
qstr_Companions_Lost/Depa Companions_Lost/Departed:_{reg0}
qstr_Wealth:_{reg0}_denar Wealth:_{reg0}_denars
qstr_Inventory:_{reg0}_de Inventory:_{reg0}_denars
qstr_Renown:_{reg0} Renown:_{reg0}
qstr_Experience:_{reg0} Experience:_{reg0}
qstr_Days_Passed:_{reg0} Days_Passed:_{reg0}
qstr_Difficulty:_{reg0}% Difficulty:_{reg0}%
qstr_{!}{reg3?+:}{reg0} {!}{reg3?+:}{reg0}
qstr_TOTAL_SCORE:_{reg0} TOTAL_SCORE:_{reg0}
qstr_{!}DEBUG____Adding_{ {!}DEBUG_--_Adding_{reg3}_items_to_{s3}
qstr_None None
qstr_Płacisz_żołd_w_wy Płacisz_żołd_w_wysokości:_{reg0}
qstr_{s2}^____{reg0}_punk {s2}^____{reg0}_punktów_renomy
qstr_{s2}^____{reg1}_punk {s2}^____{reg1}_punktów_przywództwa
qstr__Do_następnego_awan _Do_następnego_awansu_wymagane:_{s2}
qstr_Stopień:_{s69} Stopień:_{s69}
qstr_{s2} {s2}
qstr_Rotmistrz Rotmistrz
qstr_Kapitan Kapitan
qstr_Generał Generał
qstr_Brygadier Brygadier
qstr_Posiadany_regiment: Posiadany_regiment:
qstr_Dostępne_regimenty: Dostępne_regimenty:
qstr_Wyjdź Wyjdź
qstr_Nie_wybrałeś_żadn Nie_wybrałeś_żadnego_regimentu.
qstr_Kup Kup
qstr_Uzupełnij Uzupełnij
qstr_Usuń Usuń
qstr__ _
qstr_Nie_dowodzisz_regime Nie_dowodzisz_regimentem.
qstr_Potwierdź_decyzję_ Potwierdź_decyzję_o_zdaniu^_dowództwa_nad_regimentem.
qstr_Ilu_zołnierzy_potrz Ilu_zołnierzy_potrzebujesz?
qstr_Regiment_nie_poniós Regiment_nie_poniósł_żadnych_strat.
qstr_Obecny_regiment_zost Obecny_regiment_zostanie_zastąpiony.^Koszt_wystawienia_regimentu^_wynosi_{reg10}.^_________Potwierdź_albo_zrezygnuj.
qstr_Koszt_wystawienia_re Koszt_wystawienia_regimentu^_wynosi_{reg10}.^_________Potwierdź_albo_zrezygnuj.
qstr_Stan_regimentu:_{reg Stan_regimentu:_{reg0}/{reg1}
qstr_Liczebność_regimen Liczebność_regimentu:_{reg1}^^Cena:_{reg2}^^Złoto:_{reg3}
qstr_{reg2}._{s2} {reg2}._{s2}
qstr_Ranking_Pojedynków Ranking_Pojedynków
qstr_Zwycięstwa:_{reg0}^ Zwycięstwa:_{reg0}^Porażki:_{reg1}^Wynik:_{reg2}
qstr_Wins:_{reg0}^Loses:_ Wins:_{reg0}^Loses:_{reg1}^Score:_{reg2}
qstr_Wyjdz Wyjdz
qstr_Kontynuuj Kontynuuj
qstr_Witaj_{playername} Witaj_{playername}
qstr_Bywaj Bywaj
qstr_{reg1} {reg1}
qstr_{reg1 {reg1
qstr_{s0} {s0}
qstr_Continue Continue
qstr_Wygłoś_manifest. Wygłoś_manifest.
qstr_Wejdź_do_środka. Wejdź_do_środka.
qstr_Zatrzymaj_się_na_ja Zatrzymaj_się_na_jakiś_czas.
qstr_Wyjdź... Wyjdź...
qstr_disableUI disableUI
qstr_Manifest:_{reg0} Manifest:_{reg0}
qstr_Zwycięstwo! Zwycięstwo!
qstr_Porażka! Porażka!
qstr_Kontynuuj... Kontynuuj...
qstr_Ilość_punktów_do_ Ilość_punktów_do_współczynnika:_{reg1}
qstr_Wysokość_nagrody_p Wysokość_nagrody_pieniężnej:_{reg1}
qstr_Uzyskana_renoma:_{re Uzyskana_renoma:_{reg1}
qstr_Pozycja:_{reg10}_^Z� Pozycja:_{reg10}_^Złoto:_{reg12}
qstr_Rozpocznij. Rozpocznij.
qstr_Suma: Suma:
qstr_{reg0} {reg0}
qstr_Wypij Wypij
